,Tweets,,,
420,قوم آج یوم دفاع پاکستان کے موقع پر اپنے شہداء اور غازیوں کو سلام عقیدت پیش کرتی ہے جنہوں نے بھارتی جارحیت کے خلاف مادر وطن کے تحفظ کے لئے اپنی جانوں کے نذرانے پیش کئے۔ مسلح افواج اور قوم نے متحد ہوکر اپنی جغرافیائی سالمیت کے خلاف بھارتی جنگی جنون کو خاک میں ملا دیا۔,,,
421,"Went through this fascinating work of Faizan on my way to Islamabad. He has beautifully captured the stories of the citizens using Lahore Metro for their daily commute. 

“Thak ta nai gy ho? Datta sahib any wala hai.” — it really touched my heart!",,,
422,نوح بٹ اور ارشد ندیم نے سونے، شریف طاہر، زمان انور اور انعام بٹ نے چاندی، شاہ حسین، علی اسد اور عنایت اللہ نے کامن ویلتھ کھیلوں میں کانسی کے تمغے جیت کر مجھ سمیت تمام پاکستانیوں کا سر فخر سے بلند کر دیا اور اقوام عالم میں پاکستان کی عزت میں اضافہ کیا ہے. آپ پوری قوم کا فخر ہیں.,,,
423,My decision to ban import of luxury items will save the country precious foreign exchange. We will practice austerity & financially stronger people must lead in this effort so that the less privileged among us do not have to bear this burden inflicted on them by the PTI govt.,,,
424,Government has decided to tax non-productive assets of the rich including 5% tax on purchase of second property & increase in tax on luxury cars.,,,
425,"I spoke with a team of Financial Times 
@FT
 a couple of days ago. 

Here is the link to my interview:",,,
426,"I was briefed about the key solar energy initiatives earlier today. Coalition govt will soon introduce the country's first comprehensive solar policy after approval of the CCI. Solar energy will drastically cut fuel imports, bring down cost of electricity & provide clean energy.",,,
427,"A nail-biting finish to the 8th edition of Pakistan Super League. My appreciation is due to Chairman PCB, CMs of Sindh & Punjab, provincial administrations, police & the participating teams for making the event a huge success. Spectators kept it animated with their energy & zeal.",,,
428,"Heartiest felicitations to Rt Hon’ble Pushpa Kamal Dahal Prachanda on becoming Prime Minister of Nepal. As regional partners, Pakistan & Nepal enjoy cordial relations. I look forward to working with him to further strengthen our bilateral ties & regional cooperation. 
@cmprachanda",,,
429,لا يمكن لشعب باكستان أن ينسى كيف تقدمت تركيا لمساعدتنا آن زلزال عام ٢٠٠٥م، وكذلك فيضانات عام ٢٠١٠م، إذ إن المفهوم الإسلامي للأخوة يربطنا بعلاقة مميزة فريدة حيث نتقاسم آلام بعضنا بعضا.,,,
430,It was great meeting with Crown Prince Mohammed bin Salman. We reaffirmed our commitment to taking Pakistan-Saudi ties to a new & higher level. I admired his visionary leadership & thanked him for according us a warm welcome & for always standing with Pakistan. We also discussed>,,,
431,"People of Pakisan join me in greeting our brothers & sisters of UAE  on their National Day today. The Day is a reminder of the dynamic vision of its founding fathers who laid the foundation of a great nation through unification. Congratulations to my brother HH 
@MohamedBinZayed",,,
432,"The meeting reviewed the security landscape & agreed to adopt a uniform policy between the federation & provinces. It considered proposals for revision of NAP & approved a slew of measures to improve investigation, forensic & working of CTD. 2/3",,,
433,"Being in Turkey feels like being home, overwhelmed by the warmth of our Turkish brothers & sisters. Our bilateral ties have entered a new era of strategic partnership under the leadership of President Erdogan. We are on course to unpack the full untapped potential of relationship",,,
434,"The same holds true for Gwadar seaport & construction of Gwadar airport. No dredging was carried out at seaport & thus no large cargo ship can be anchored. Have ordered quick completion of Gwadar University, airport & installation of desalination plant for clean drinking water.",,,
435,اقوامِ متحدہ کےجنرل اسمبلی کےاجلاس کے دوسرے روز میں نےIMF اورورلڈ بنک کے اعلی سطح کی قیادت سے گفتگو میں حالیہ پروگرام میں سیلاب کے بعد تعمیرِ نو کیلئے وسائل رکھنے کی بات کی. دوسرے عالمی قائدین کے ساتھ ملاقاتوں میں ہم نے موسمیاتی تبدیلی، سیلاب متاثرین کی بحالی کے حوالے سے گفتگو کی,,,
436,پورے عزم و یقیں سے ہم سب مل کر ہر طرح کی مشکلات کو شکست دیں گے۔ انشاءاللہ!,,,
437,Imran Niazi's baseless & dangerous allegations against former President Asif Ali Zardari are not only irresponsible but also conform to a pattern of conspiracy theories meant to spread venom against his political opponents. /1,,,
438,"I thank all the friendly countries for their condolences & profound sympathies on the loss of precious lives in Peshawar tragedy. We deeply value this show of solidarity at this difficult time. With support of our people, we will crush terrorists & eliminate them from our soil.",,,
439,"The core of my argument during my speech at NA was that for a democratic system to work smoothly & effectively, it is important that all state organs act within the domains stipulated by Constitution. Without understanding this, we will be moving in a circle, getting nowhere.",,,
440,"Kashmir's Accession to Pakistan Day is a reflection of Kashmiris' pledge to continue their struggle till the idea of accession becomes a reality. Indian oppressive state apparatus has failed to stop this journey of resistance, sacrifice & defiance. We salute Kashmiris' courage.",,,
441,"Today I am embarking on a visit to Saudi Arabia to renew & reaffirm our bonds of brotherhood & friendship. I will have wide-ranging discussions with Saudi leadership. KSA is one of our greatest friends & as Custodian of the Two Holy Places, has a special place in all our hearts.",,,
442,امام حسین ؓ بے کسوں کی آواز، اتحاد، بھائی چارے، اعلی اخلاقیات اور سچ کے امین ہیں. انکا حق کیلئے مزاحمت اور ڈٹ کر کھڑے ہونے کا پیغام پوری انسانیت کو مساوات اور آزادی کے سنہری اصولوں پر مبنی اخلاقی نظام کے قیام کی ترغیب دیتا رہے گا.,,,
443,68 سال بعد کل سے ہمارے قومی ترانے کے عظیم الفاظ اور ساز نئے انداز میں قوم کی آواز بننے جا رہے ہیں۔ میں اس خوبصورت پیشکش اور ان تاریخی لمحات کو پاکستانی قوم کے نام کرتا ہوں۔ وزارت اطلاعات، سٹیرنگ کمیٹی، آئی ایس پی آر سمیت پوری ٹیم کو شاباش۔ پاکستان زندہ باد,,,
444,پہلے دن سےغریب ترین طبقے کو مشکل معاشی حالات کے اثر سےبچانا ہماری اولین ترجیح رہی ہے۔وزیر اعلٰی پنجاب کا ماہانہ 100 یونٹس تک استعمال کرنے والےخاندانوں کے لیے بجلی کی مفت فراہمی کا اعلان نہایت خوش آئند ہے۔معاشی حالات بہتر ہوتے ساتھ ہی ہم آپ کو مزیدسہولیات فراہم کریں گے، انشاءاللّہ,,,
445,The coalition government is working diligently on Thar coal & solarization projects to generate electricity. This will substantially bring down the cost of electricity & provide relief to citizens. My appreciation for Sindh government & other stakeholders.,,,
446,"What a nail biting finish to the FIFA WC  … Messi’s  

Congratulations to Qatar for successfully holding the mega event…Upsets by Saudi Arabia and Morocco remain highlights of the tournament for me.",,,
447,"At Islamabad Journalist Safety Forum today, I highlighted steps taken by the government to ensure media freedom. In Asia, Pakistan has performed very well on the UN Plan of Action. I shared the resolve to fully implement the Protection of Journalists & Media Professionals Act.",,,
448,Pakistan’s accession to Apostille Convention will facilitate & ease a significant burden on Pakistanis traveling & living abroad. Creating smooth processes for our citizens is a priority for us. Now Pakistani notarized documents will be accepted in 100+ countries.,,,
449,"د شمالي وزیرستان خلک د دھشتګردانو په لاس د ډیری مودې راهیسې ځپل شوي دي.

نن مې شمالي وزیرستان ته د خپل سفر په مهال یو پوهنتون، د دانش سکول سیسټم او میډیکل کالج تعمیرولو اعلان وکړو. دی سره یو موبائل ہسپتال به زر ته شمالی وزیرستان تہ اولاړ شی",,,
450,"Consistency and hard work are ingredients for success.

Congratulations to our Women's cricket team for beating the archrivals in a T20 match today. Well played. 

Pakistan  is proud of you.",,,
451,The Agreement to protect a third of the planet by 2030 reached at COP15 UN Biodiversity Summit is truly nothing short of being historic. Protecting our biodiversity is key to putting nature on a path to recovery. It reflects humanity's collective resolve to protect Mother Earth.,,,
452,"Thank you Prime Minister. It was great speaking to you about a range of issues that define our excellent bilateral relations. My government is keen to further deepen ties with the UK through renewed cooperation in areas like trade, commerce, culture, investment & energy.  ",,,
453,"I inaugurated the 7th nuclear power plant of Pakistan & 3rd nuclear power plant built in Karachi yesterday. With the induction of K-3, the total nuclear power generation capacity has reached 3600 MW. The K-3 project has added a total of 1100 MW electricity to the national grid.",,,
454,I extend my warm congratulations to H.E. Mr. Li Qiang on his election as new Premier of . Look forward to working closely with him to further advancing Pakistan-China Strategic Cooperative Partnership. I am confident our bilateral relations will enter a new era of cooperation.,,,
455,"Grateful for President 
@EmmanuelMacron
’s message of support for the people of  faced with devastating floods. We appreciate France’s solidarity and offer of help for the affected people in this hour of need.",,,
456,"الهدف من زيارتي إلى الإمارات العربية المتحدة هو البناء على المحادثة التي أجريتها مع صاحب السمو الشيخ 
@MohamedBinZayed
 نتشارك العزيمة والتفاهم على ضرورة بذل الجهود الدؤوبة لتعزيز العلاقات التجارية، والاستثمارية، والاقتصادية.",,,
457,"On behalf of the government and the people of Pakistan, I convey our most sincere prayers and thoughts to Her Majesty Queen Elizabeth II for her early and complete recovery.",,,
458,Dünyanın dört bir yanında yaşayan Müslümanlara ve Pakistanlılara mutlu ve bereketli bayramlar dilerim. Bu vesileyle Müslüman liderlerin de bayramını en içten dileklerimle kutlar ve Pakistan’ın ilişkilerini daha da güçlendirme kararlılığında olduğumuzu bir kez daha teyit ederim.,,,
459,"I was moved by the generosity of people affected by the Pakistan floods toward one another.

They have opened their homes & shared what they have.

This is an example of solidarity for all countries as the impacts of the climate crisis continue to impact the most vulnerable.",,,
460,The world witnessed yesterday how the nations can come together in a show of solidarity to create a model of win-win partnership to lift suffering humanity out of tragedy. I was deeply moved by the compassion on display at Geneva Conference. Together we will rebuild lives & hopes,,,
461,"We acknowledge with a sense of gratitude Japan's  pledge of $ 88 million for recovery, reconstruction and rehabilitation of the flood affected areas of Pakistan. The task is no doubt challenging but with the support of friends & partners, we will accomplish it for our people.",,,
462,عالمِ اسلام اور پوری دنیا کو رحمتوں کے مہینے ربيع الاول کی آمد مبارک، خاتم النبیین حضرت محمد ﷺ کی ولادت پوری انسانیت کے لیے دنیا اور آخرت کی کامیابی کا ذریعہ ہے، آئیں عہد کریں کہ اس ماہ سیرت نبوی ﷺ کا مطالعہ اور اس پر عمل کرکے خود کو روز محشر حضور ﷺ کی شفاعت کے قابل بنائیں گے۔,,,
463,"Two news stories published in globally respected Economist have validated what we have been saying about Imran Niazi. In its latest issue, the magazine wrote that Niazi ""blew up"" IMF deal & is ""exploiting the disaster to score political points"". 

He is out to undermine Pakistan.",,,
464,"What the nation is going through right now is certainly a difficult time. The hard decisions were necessitated by circumstances. We will sail through these times, Insha’Allah. Your government has introduced austerity measures to share the burden that you are feeling.",,,
465,"On behalf of the people & government of Pakistan, I reiterate our unwavering support to the Palestinians on the International Day of Solidarity with the Palestinian People. The Day highlights the extreme sufferings Palestinians have endured under illegal Israeli occupation.  ",,,
466,آج سے میں نے سیلاب متاثرین کیلئے فلڈ ریلیف کیش پروگرام کا آغاز کر دیا ہے. ملک بھر کے 15 لاکھ سیلاب متاثرہ خاندانوں کو فوری طور پر 25 ہزار کیش امداد کی فراہمی شروع کر دی گئی ہے. تباہی کی شدت کو سامنے رکھتے ہوئے امدادی رقوم کی تقسیم کا آغاز بلوچستان کے سیلاب متاثرین سے کیا گیا ہے.,,,
467,نامور قانون دان اورسابق صدر سپریم کورٹ بار عبدالطیف آفریدی کےپشاور میں بیہمانہ قتل پر دلی دکھ اور رنج ہوا۔ انکی بلندیِ درجات اور لواحقین کیلئے صبرِ جمیل کی دعا ہے۔خیبر پختونخوا میں بگڑتی ہوئی امن و امان کی صورتحال تشویشناک ہے،صوبائی حکومت اس کی بہتری کیلئے فی الفور اقدامات اٹھائے,,,
468,"Pakistan is keen to work with other SCO member-countries for the promotion of cooperation in the fields of trade & economy, connectivity & communication, energy & agriculture, climate change & information technology. There is a massive scope for intra-SCO trade.",,,
469,"In my meeting with fed. secretaries, I impressed upon them the need for proactive leadership to complete solarisation of public buildings. Whole process will b marked by transparency, pre-qualification & 3rd-party audit. We will acknowledge civil servants for their dedication 2/3",,,
470,"Congratulations to 
@RishiSunak
 on his nomination as leader of the Conservative Party and next Prime Minister of the UK. I look forward to working with him to advance shared interests and further deepen the abiding  -  partnership.",,,
471,Pakistan  exiting the FATF grey list is a vindication of our determined and sustained efforts over the years. I would like to congratulate our civil & military leadership as well as all institutions whose hard work led to today's success. Aap sab ko bohat bohat Mubarak :),,,
472,"In line with my commitment to the nation, the coalition government has been swift to transfer the benefit of reduction in oil prices to the masses. We will continue to provide relief as soon as we have financial cushion to do so. I believe in honest conversation with the nation.",,,
473,"Special Economic Zones (SEZ) are an important component of CPEC, capable of accelerating our economic growth & creating job opportunities. During my visit to Rashakai today, I inspected the pace of construction & directed for plugging the loopholes in coordination.",,,
474,"Levies soldier Habib ur Rehman, who was martyred while protecting the polio team in Chaman, is our nation's hero. It is valiant men like him who manifest our national resolve to eradicate polio from our country and save our children from this debilitating ailment.",,,
475,"There is primarily one argument I made in my interview with Bloomberg. Given the vast scale & extent of destruction caused by the floods, the rich countries should consider giving debt relief to Pakistan so that we can stand up on our feet. Climate disaster is not of our making.",,,
476,"My profound prayers & best wishes to senior PMLN leader Javed Hashmi sahib for early recovery & good health. A great democrat & companion of Quaid Mian Nawaz Sharif, Hashmi sb has been an inspiration to a generation.",,,
477,Another Afridi with such power hitting … ,,,
478,"ECP verdict on PTI foreign funding case chargesheets Imran Niazi for violating the Constitution, submitting false affidavits & accepting foreign money. Proven yet again that he is a certified liar. Nation should ponder over the implications of his politics funded by foreigners.",,,
479,"At this difficult time, Pakistan stands in solidarity with the people and government of the UAE. I have directed the Pakistan Embassy in Abu Dhabi to extend full support to the affected families.",,,
480,"Danish School system that I established for underprivileged kids in South Punjab as CM, has now been extended to Balochistan. I met the brilliant students studying at Sohbatpur and spent some quality time with them. ",,,
481,"Had a very useful meeting with USAID Administrator Samantha Power this evening. She informed that the United States government has increased financial assitance by another $20 million, thus taking the aid volume to $51 million. We are grateful to the US for the continued support.",,,
482,"Over the decades, Imran Niazi has decieved people in the name of honesty, transparency & accountability. The foreign funding verdict has busted his claims & showed him for what he actually is: a con man. The coalition government will take the verdict to its logical conclusion.",,,
483,"Big moment. Congratulations to all of you. Well played, Pakistan  … and Netherlands :)",,,
484,من المؤسف تعرض قطر لحملة تشويه باعتبارها مضيفة لكأس العالم، بالأحرى يجب الإشادة للاستعداد والتنظيم الرائع للحدث الضخم، وكونه داعمًا للتنمية والسلام العالميين، تسجل باكستان تضامنها مع قطر قيادة وشعبا.,,,
485,"Turkish Democracy & National Unity Day will alsways be remembered as an expression of Turkish people's unwavering trust in the leadership of President 
@RTErdogan
. It also reflects Turkish nation's resolve to protect & uphold democracy. May the souls of the martyrs rest in peace!",,,
486,"As promised, no cuts in the budget for higher education sector. The development budget for the HEC has been increased from Rs. 26 bilion to Rs. 44 billion, representing an increase of 67%. Our commitment to education is firm & absolute.",,,
487,"Reached NY a few hours ago to tell Pakistan's story to the world, a story of deep anguish & pain arising out of a massive human tragedy caused by floods. In my address at UNGA & bilateral meetings, I will present Pakistan's case on issues that call for world's immediate attention",,,
488,16 دسمبر دہشت گردی کے خلاف پورے پاکستان کے ایک آواز ہونے کا دن ہے۔ یہ دن پوری دنیا کے لئے پیغام ہے کہ پاکستان نے دہشت گردی کے خاتمے کے لئے  عظیم قربانیاں دی ہیں۔ ہماری یہ جدوجہد جاری ہے جو اس عفریت کے مکمل خاتمے تک اسی آہنی ارادے اور ثابت قدمی سے جاری رہے گی۔,,,
489,Our love for the Holy Prophet (PBUH) is supreme. All Muslims can sacrifice their life for the Love & Respect of their Holy Prophet (PBUH).,,,
490,"It was pleasure talking to you, President von der Leyen. Pakistan and EU enjoy a vital relationship. I shall strive to further strengthen this partnership for our mutual benefit!",,,
491,professionalism & commitment with which he served the nation during these difficult times.,,,
492,"In my address at the CICA Summit earlier today, I explained the health & food challenges in the post-flood reconstruction phase, needing international engagement. Human solidarity can help overcome the challenge of climate change.",,,
493,Leaving for Uzbekistan today to attend the meeting of the Council of Heads of State of the SCO. The global economic turbulence has necessitated the need for more cooperation among the SCO member countries. The SCO vision represents the aspirations of 40% of world population.,,,
494,"I am acutely aware of the hardships people are facing due to load-shedding. PTI government neither procured any fuel nor undertook timely repair & maintenance of plants. After emergency steps decided today, the power situation will  normalise significantly by May 01, Insha'Allah.",,,
495,"Time has come for the nation to understand what true freedom means. It is a freedom from want, hunger & poverty. Without economic sovereignty, our freedom is incomplete. Our greatest strength is our people. It is about time we place their welfare at the center of public policy.",,,
496,Heartiest congratulations to Army Chief General Qamar Javed Bajwa on conferment of King Abdulaziz Medal for his contributions to strengthening defence ties between our two brotherly countries. It is a great honour for the people and the armed forces of Pakistan.  ,,,
497,"بین الاقوامی جریدے""دی اکانومسٹ"" نےبھی اسی بات کی تائید کی جوہم عمران نیازی کےبارے شروع دن سےکہتے آئےہیں.حالیہ شمارےمیں جریدےنے لکھا ہےکہ کیسےعمران نیازی نےIMF سےکئے معاہدےکی دھجیاں اڑائیں اورسیلاب کواپنی سیاست چمکانےکیلئےاستعمال کررہےہیں. عمران نیازی پاکستان کونقصان پہنچا رہے ہیں",,,
498,"First, given magnitude of challenge, we should forge unity. It is time we put welfare of flood victims at center of our priorities & left politics for another day. Two, I reiterated all local & international donations & assistance will be audited by AGP & international aduit firm",,,
499,"China offers a promise of hope to developing world beset by multiple crises relating to climate, finance, food & energy.Chinese template of inter-state relations prioritizes cooperation over confrontation & is the governing principle in formation of a Community of Common Destiny.",,,
500,Deeply saddened by the martyrdom of Brig Mustafa Burki & other soldiers. Our brave sons of the soil have laid down their lives protecting the country from the enemy forces. Terrorism will be uprooted as it is against the very idea of Pakistan. My condolences to bereaved families,,,
501,"Pakistan  thanks umpire Aleem Dar for his meritorious services to international cricket, as he steps down from the ICC Elite Panel of Umpires. His flawless umpiring across all formats of the game has won praise across the cricketing world. Pakistan is proud of him!",,,
502,یومِ الحاقِ پاکستان، کشمیریوں کے پاکستان سے الحاق کے خواب کے شرمندہ تعبیر ہونے تک جدوجہد جاری رکھنے کے عہد کی تجدید ہے. بھارتی ریاستی مظالم اس مذاحمت، قربانی اور عزم کی پختگی کو ماند نہ کر سکے. ہم کشمیریوں کے اس عظیم جذبے کو سلام پیش کرتے ہیں.,,,
503,"Great honour & inspiring journey fuelled by determination & sheer will power. Ahmad Nawaz, who survived horrific attack on APS Peshawar, has become President of prestigious Oxford Union. He has set an example worthy of emulation by our youth. Pakistan is proud of you, Ahmad.",,,
504,"As part of efforts to mobilize all resources, I met Islamabad-based ambassadors, high commissioners & senior members of diplomatic corps today to sensitize them about scale of human tragedy. EAD & NDMA briefed the meeting about the current status of the challenge & response.",,,
505,نوری آباد کے قریب سپر ہائی وے پر بس کو آگ لگنے کے واقعہ میں قیمتی جانوں کے ضیاع پر شدید دکھی ہوں۔ اللہ تعالی سے دعا ہے کہ وہ اس حادثے میں وفات پا جانے والے لوگوں کو اپنے جوار رحمت میں جگہ دے،  غمزدہ خاندانوں کو صبر جمیل عطا کرے اور  زخمیوں کو جلد صحت یابی دے۔ آمین,,,
506,"A major chunk of electricity is produced from imported fuel whose prices have gone up in recent months. Our National Solar Energy Initiative is aimed at subsituting costly energy with cheap solar power, which will provide massive relief to people & save precious foreign exchange.",,,
507,"After the SCO meeting last month, the day-long CICA Summit in Astana has helped bring Pakistan's focus back on energy, trade & regional connectivity. South & Central Asia have distinct advantages that we plan to leverage for win-win outcomes.",,,
508,"I was greatly delighted to meet the grandchildren of Qazi Abdur Rehman Amritsari, a school teacher who suggested the name of Islamabad in 1959. Gen Ayub promised a plot for him. Today, I fulfilled this promise after 63 years. Thanks to Hamid Mir sb for bringing it to my notice.",,,
509,آج میرے صحبت پور دورے کا مقصد سیلاب متاثرین سے اظہار یکجہتی اور ان کو یہ احساس دلانا تھا کہ میری حکومت اور میں ان کی بحالی کے لئے سرگرم عمل ہیں۔ 9 جنوری کو جنیوا میں ہونے والی ڈونرز کانفرنس میں سیلاب متاثرین کا مقدمہ دنیا کے سامنے رکھوں گا۔ ۱/۲,,,
510,Let the gravity of this sink in: a former PM conspired with his aides to twist a routine diplomatic cypher for his selfish political motives knowing well this would harm Pak national interest. IK had no qualms damaging Pakistan while sitting in PM off. If hypocrisy had a face...,,,
511," GOAL: Maria Khan's direct free-kick that levelled the score against Saudi Arabia 

#football #pakistan #pakistanfootball",,,
512,"Deeply shocked to hear the sad news of an attack on former Japanese Prime Minister Shinzo Abe. We send our prayers & best wishes for his early recovery & good health. Our thoughts are with him, his family, and the people of Japan.",,,
513,"Had a busy day in Doha today, which was dominated by candid discussions on trade, investment & economic cooperation. In today's world, all facets of a bilateral relation b/w the nations should convert into mutual dividends. I look forward to fruitful outcome of the visit.  ",,,
514,"Acutely aware of the impact that a fuel price hike causes. Govt is left with no choice but to raise the prices due to IMF deal that PTI govt signed. Will take the nation into confidence on the specifics of the IMF-PTI deal soon. We will get out of these economic difficulties, IA.",,,
515,"Pakistan needs clean, environment-friendly & cheap electricity to power its economic growth. The govt is working on a plan to diversify the energy mix that will save precious foreign exchange & provide relief to people. We are particularly focusing on solar & hydropower potential",,,
516,I thank H.E. President Xi Jinping & H.E. Premier Li Keqiang for the financial assistance to flood-affected people of Pakistan. This flood is like no other in terms of its intensity & spread. China  has been there for us at the most difficult times & we greatly value its support,,,
517,"During my interactions with market & business leaders, I will highlight the exciting investment opportunities in Pakistan's various sectors such as renewable energy, food security, industrial & infrastructure development, tourism and hospitality.",,,
518,"Ukraine grain deal inked in Istanbul is a historic victory of diplomacy signifying that all crises can be averted through meaningful engagement. On this remarkable achievement, I congratulate my brother 
@RTErdogan
 & thank Turkiye for its key role in preventing global food crisis.",,,
519,"Coalition govt has taken some difficult decisions to stabilize economy. We didn’t care for their impact on our political capital, for doing so is in the best interest of Pakistan. For how long will we continue to be consumed by our narrow interests at the cost of national duties?",,,
520,"While we have had excellent human resource, fertile lands & plans, what we have lacked all along is the will to turn strategies into concrete actions. We have faltered on executing the projects leading to cost & time overruns. We need to break this logjam that has held us back.",,,
521,سابق چیف جسٹس ثاقب نثار اور PTI وکیل خواجہ طارق رحیم کی آڈیو لیک میں بیٹی مریم نواز کے بارے میں گھٹیا گفتگو انتہائی قابل مذمت ہے۔خواتین کے بارے میں اس لب و لہجے اور گھٹیا سوچ کی معاشرے بالخصوص خواتین کو پر زور مذمت کرنی چاہیے۔ اجتماعی  مذمت ہی معاشرے میں یہ منفی سوچ  روک سکتی ہے,,,
522,ہاکی کی دنیا کے لیجنڈ، اولمپیئن  منظور حسین جو نیئر کے انتقال پر گہرا دکھ اور  افسوس ہوا. اللہ تعالی مرحوم کے درجات بلند کریں اور سوگواران کو صبرِ جمیل عطا کریں. گولڈ میڈلسٹ منظور حسین جونیئر قوم کا سرمایہ تھے، پاکستان ہاکی کیلئے انکی خدمات نا قابلِ فراموش رہیں گی.,,,
523,کوئی ہماری توجہ اس سے بھٹکا نہیں سکتا۔ پاکستان کے عوام کی خدمت کو میں خود پر ایک قرض سمجھتا ہوں۔,,,
524,There are serious concerns about the threat of global recession hitting the economies. The pandemic & climate-induced disasters have already put immense strains on the developing countries. High time the world explored solutions to the deepening challenges through candid dialogue,,,
525,We consider the security of Saudi Arabia as our own and are completely resolved to further cementing our multifaceted bilateral relationship including excellent defence cooperation.,,,
526,"During my visit to PKLI today, found out that out of 20 unites, only 14 are functional. It was supposed to provide free medical treatment to all the poor & only 17% could get that. The work remained suspended on PKLI for two years. Criminal negligence!",,,
527,Imran Niazi's antics & somersaults continue to disappoint the nation. The only constant is his desperation to get back into power even if it involves plunging the country into a protracted period of instability. His politics is based on lies which are getting exposed by the day.,,,
528,"Through their despicable actions, terrorists want to spread fear & paranoia among the masses & reverse our hard-earned gains against terrorism & militancy. My message to all political forces is one of unity against anti-Pakistan elements. We can fight our political fights later.",,,
529,پاکستانی ڈاکٹروں، پیرا میڈیکس اور ریسکیو اہلکاروں پر مبنی خصوصی ٹیمیں ترکیہ میں جاری ریسکیو اور مدد کے کاموں میں ہاتھ بٹانے کیلئے بھیجی جا رہی ہیں۔ بہت جلد ایک ہوائی جہاز بھی اشیاءِ ضروریہ اور ادویات لے کر ترکیہ رانہ کر دیا جائے گا۔,,,
530,Just spoke to CM Syed Murad Ali Shah. Deeply saddened by the tragic losses due to torrential rains in Karachi. I am confident that Sindh govt will rise to the occasion & bring life back to normal under the able leadership of CM Sindh. Have offered to extend every possible support,,,
531,Macroeconomic stability is the first step. What the coalition government is aiming to achieve is economic self-sufficiency. This precisely is the spirit of the budget. Our national security is very closely tied to economic reliance.,,,
532,"Correction:

The financial support pledged by Japan  is $ 77 million.",,,
533,The people of Pakistan cannot forget how Türkiye came forward to help us at the time of earthquake of 2005 & super floods of 2010. The Islamic concept of brotherhood binds us in a unique relationship where we share the pain of each other.,,,
534,"I visited flood-hit area of Sindh yesterday where hundreds of thousands of people including the elderly, women & children are facing the worst hardships in harsh winter. They are paying the price of the scourge of climate change they did little to cause. We should stand by them",,,
535,"152/0, and now 203/0. 

Baber & Rizwan  ",,,
536,I am saddened at the tragic death of 146 people in a stampede in Seoul. Our thoughts & prayers are with the government & people of South Korea.,,,
537,"I will address pre-budget seminar tomorrow that brings various stakeholders together to discuss challenges & opportunities our economy presents. We aim to refine ideas for integrated national strategy that encompasses business, IT, agriculture with focus on enhancing exports.",,,
538,The formal resumption of an IMF program is a major step forward in our efforts to put Pakistan's economy back on track. It is outcome of an excellent team effort. I commend Finance Minister Miftah Ismail & his team and other stakeholders for their hard work.,,,
539,We join the international community today in paying homage to the workers on their sacrifices & heroic struggle for their rights. Development becomes meaningful only when those working hard to make it possible are taken care of & included among the recepients of its benefits.,,,
540,"Grieved to hear about the passing of Begum Najma Hameed, ex-PML-N Senator & the aunt of Marriyum Aurangzeb. She was a committed & loyal party leader who served the country, party & democracy with dedication. May Allah rest her soul in peace! My condolences to her family.",,,
541,"میں UN SG 
@antonioguterres
 کا سیلاب متاثرین کی مثالی حمایت کیلئےشکرگزار ہوں.انکا دو روزہ دورہ اس انسانی سانحے کےبارے دنیا بھر میں آگاہی پھیلانے کیلئے نہایت اہم رہا. انکی ہمدردی اور قائدانہ خصوصیات نے مجھےمتاثر کیا.پاکستان کو اس چیلینج سےنبردآزما ہونےکیلئے عالمی تعاون کی ضرورت ہے",,,
542,"I extend my felicitations to 
@trussliz
 on being elected leader of the Conservative Party. The election reflects the high confidence placed by Tory membership in her vision and policies.",,,
543,"Today the whole of Pakistan comes together to express its unflinching solidarity & support to Kashmiri brothers & sisters, who remain undeterred by the oppressive Indian occupation apparatus in the struggle for UN-sanctioned right to self-determination. 1/2",,,
544,Just had a telephonic call with Kenyan President William Ruto about the tragic death of Arshad Sharif in . I requested him to ensure fair & transparent investigation into shocking incident. He promised all-out help including fast-tracking the process of return of the body to ,,,
545,"Please accept my condolences at the passing of your father. As is obvious from your tweet, his was a life well lived in the service of others. I am sure, he must be proud of you. You and your family are in my thoughts and prayers.",,,
546,"As people go to polls in Punjab today, remember what you have been put through in the nearly four years of PTI's (mis)rule. Imran Khan's legacy has been one of corruption, incompetence, destruction of the economy & protection of mafias & interest groups.",,,
547,"Highly grateful to HH Sheikh Mohammed bin Rashid Al Maktoum 
@HHShkMohd
 for the announcement of AED50 million for flood affectees in Pakistan. The UAE  continues to lead the humanitarian effort, a sign of the brotherly bond between our two nations.",,,
548,موسمی تبدیلیوں کے نتیجے میں سیلاب کی تباہی سے سب سے زیادہ بچے متاثر ہورہے ہیں۔ بدقسمتی سے 400 بچے جاں بحق ہوئے جو مجموعی ہلاکتوں کی ایک تہائی تعداد بنتی ہے۔ پانی سے پیدا ہونے والی بیماریوں کا نشانہ ان بچوں کی جان بچانے کےلئے 'یونیسیف' ، دیگر عالمی اداروں سے مدد کی اپیل کرتا ہوں۔,,,
549,"The deliberations by the world leaders will shape the future of our struggle against climate change. What we face today is the challenge of the century. We have a duty to leave a clean & green environment to our coming generations. At #COP27, we should vow to succeed at all costs",,,
550,"Violence against women in any form is a violation of human rights & dignity. A society can't claim to be civilized leave alone being democratic if it condones violence under any pretext. On this Day today, let us all pledge to play our part to put an end to such practices.",,,
